date,email,call
2013-03-06,128.0,176
2013-03-07,141.0,168
2013-03-08,111.0,141
2013-03-09,85.0,3
2013-03-10,87.0,5
2013-03-11,118.0,169
2013-03-12,160.0,156
2013-03-13,130.0,158
2013-03-14,123.0,145
2013-03-15,120.0,145
2013-03-16,96.0,1
2013-03-17,92.0,2
2013-03-18,139.0,158
2013-03-19,118.0,151
2013-03-20,165.0,155
2013-03-21,151.0,150
2013-03-22,158.0,126
2013-03-23,89.0,6
2013-03-24,109.0,4
2013-03-25,174.0,191
2013-03-26,227.0,206
2013-03-27,194.0,170
2013-03-28,199.0,147
2013-03-29,86.0,105
2013-03-30,70.0,0
2013-03-31,80.0,0
2013-04-01,147.0,137
2013-04-02,200.0,192
2013-04-03,136.0,196
2013-04-04,151.0,174
2013-04-05,121.0,14
2013-04-06,69.0,1
2013-04-07,79.0,2
2013-04-08,166.0,13
2013-04-09,183.0,243
2013-04-10,174.0,221
2013-04-11,142.0,177
2013-04-12,112.0,118
2013-04-13,68.0,5
2013-04-14,94.0,1
2013-04-15,118.0,136
2013-04-16,149.0,147
2013-04-17,153.0,175
2013-04-18,123.0,170
2013-04-19,124.0,122
2013-04-20,76.0,6
2013-04-21,83.0,1
2013-04-22,150.0,165
2013-04-23,174.0,191
2013-04-24,139.0,162
2013-04-25,160.0,170
2013-04-26,157.0,156
2013-04-27,77.0,5
2013-04-28,83.0,3
2013-04-29,170.0,195
2013-04-30,207.0,140
2013-05-01,172.0,148
2013-05-02,144.0,156
2013-05-03,124.0,142
2013-05-04,73.0,4
2013-05-05,87.0,6
2013-05-06,147.0,144
2013-05-07,123.0,148
2013-05-08,135.0,177
2013-05-09,124.0,201
2013-05-10,187.0,132
2013-05-11,86.0,2
2013-05-12,73.0,7
2013-05-13,136.0,156
2013-05-14,221.0,204
2013-05-15,151.0,167
2013-05-16,160.0,143
2013-05-17,135.0,82
2013-05-18,87.0,2
2013-05-19,109.0,1
2013-05-20,133.0,185
2013-05-21,135.0,168
2013-05-22,148.0,169
2013-05-23,114.0,131
2013-05-24,128.0,123
2013-05-25,86.0,1
2013-05-26,49.0,3
2013-05-27,81.0,5
2013-05-28,158.0,157
2013-05-29,167.0,156
2013-05-30,133.0,146
2013-05-31,111.0,114
2013-06-01,74.0,11
2013-06-02,75.0,5
2013-06-03,157.0,130
2013-06-04,165.0,138
2013-06-05,169.0,141
2013-06-06,151.0,135
2013-06-07,122.0,103
2013-06-08,95.0,5
2013-06-09,77.0,2
2013-06-10,122.0,123
2013-06-11,128.0,130
2013-06-12,122.0,114
2013-06-13,105.0,94
2013-06-14,99.0,77
2013-06-15,61.0,2
2013-06-16,59.0,0
2013-06-17,115.0,96
2013-06-18,105.0,98
2013-06-19,113.0,190
2013-06-20,116.0,126
2013-06-21,108.0,104
2013-06-22,54.0,3
2013-06-23,63.0,2
2013-06-24,111.0,156
2013-06-25,133.0,176
2013-06-26,157.0,159
2013-06-27,114.0,123
2013-06-28,85.0,67
2013-06-29,52.0,1
2013-06-30,69.0,3
2013-07-01,99.0,119
2013-07-02,107.0,89
2013-07-03,105.0,88
2013-07-04,51.0,0
2013-07-05,57.0,4
